Year,State,TOTAL_BALLOTS,VAP,NONCITIZEN_PCT,INELIGIBLE_PRISON,INELIGIBLE_PROBATION,INELIGIBLE_PAROLE,INELIGIBLE_FELONS_TOTAL,VEP,VEP_TURNOUT_RATE,VAP_TURNOUT_RATE
2014,Texas,"4,727,208","19,958,796",13.30%,"157,361","388,101","111,412","486,110","16,818,166",28.11%,23.68%
2014,Utah,"577,973","2,045,779",6.80%,"6,824",0,0,"6,824","1,899,842",30.42%,28.25%
2014,Vermont,"202,445","504,200",2.20%,0,0,0,0,"493,107",41.05%,40.15%
2014,Virginia,"2,194,346","6,462,450",6.90%,"36,943","54,966","1,732","69,456","5,947,085",36.90%,33.96%
2014,Washington,"2,124,330","5,485,062",8.40%,"17,345","94,112","9,880","79,928","4,944,389",42.96%,38.73%
2014,West Virginia,"462,864","1,467,174",0.90%,"6,873","7,174","2,749","13,639","1,440,331",32.14%,31.55%
2014,Wisconsin,"2,422,248","4,454,913",3.10%,"22,097","46,212","20,010","67,986","4,248,825",57.01%,54.37%
2014,Wyoming,"171,153","444,797",2.70%,"2,330","5,196",715,"5,955","426,832",40.10%,38.48%
2012,United States,130231296,240897888,8.40%,1473412,2342582,637410,3352390,222437494,58.57%,54.09%
2012,Alabama,2083309,3705982,2.60%,32232,57993,8616,71584,3538042,58.88%,56.21%
2012,Alaska,301694,544269,3.80%,5633,7173,1882,11317,512270,58.89%,55.43%
2012,Arizona,2323579,4963741,9.90%,35188,72452,7460,81048,4391282,52.91%,46.81%
2012,Arkansas,1078548,2244163,3.50%,14471,30122,23372,53808,2111810,51.07%,48.06%
2012,California,13202158,28871296,17.40%,119455,0,89287,208742,23638949,55.85%,45.73%
2012,Colorado,2596173,3980623,6.90%,18807,0,11458,30265,3675695,70.63%,65.22%
2012,Connecticut,1560640,2804156,8.50%,16935,0,2793,19728,2546075,61.30%,55.65%
2012,Delaware,417631,714081,5.10%,6610,15641,601,15501,662162,63.07%,58.49%
2012,District of Columbia,294254,531080,9.70%,0,0,0,0,479566,61.36%,55.41%
2012,Florida,8538264,15367936,10.80%,91954,240869,4538,224153,13484046,63.32%,55.56%
2012,Georgia,3919355,7441387,7.20%,52737,442061,24761,311790,6593817,59.44%,52.67%
2012,Hawaii,437159,1091451,9.20%,5544,0,0,5544,985494,44.36%,40.05%
2012,Idaho,666290,1172481,4.60%,7985,31606,3848,28584,1089963,61.13%,56.83%
2012,Illinois,5279752,9838883,8.90%,49348,0,0,49348,8913874,59.23%,53.66%
2012,Indiana,2663368,4959521,3.60%,28266,0,0,28266,4752712,56.04%,53.70%
2012,Iowa,1589951,2356497,3.20%,8470,29333,5151,29167,2251922,70.60%,67.47%
2012,Kansas,1182771,2162245,5.00%,9346,17021,5126,23493,2030640,58.25%,54.70%
2012,Kentucky,1815843,3374444,2.20%,21863,54511,14419,65173,3235034,56.13%,53.81%
2012,Louisiana,2014548,3495424,2.70%,40047,41298,28946,90881,3310167,60.86%,57.63%
2012,Maine,724758,1063754,1.80%,0,0,0,0,1044606,69.38%,68.13%
2012,Maryland,2734062,4552894,8.90%,20871,96640,13195,85285,4062401,67.30%,60.05%
2012,Massachusetts,3184196,5278131,8.40%,10283,0,0,10283,4824485,66.00%,60.33%
2012,Michigan,4780701,7637478,3.50%,43019,0,0,43019,7327148,65.25%,62.60%
2012,Minnesota,2950780,4111021,4.40%,9383,108157,6006,72712,3857424,76.50%,71.78%
2012,Mississippi,1285584,2245738,1.50%,22305,30768,6804,45416,2166636,59.34%,57.25%
2012,Missouri,2840776,4627371,2.50%,30714,55470,20672,80785,4430901,64.11%,61.39%
2012,Montana,491966,783676,0.90%,3592,0,0,3592,773031,63.64%,62.78%
2012,Nebraska,804245,1394124,4.70%,4466,14260,1383,13407,1315193,61.15%,57.69%
2012,Nevada,1016664,2099011,13.30%,12883,11321,5379,24262,1795581,56.62%,48.44%
2012,New Hampshire,718700,1050220,3.00%,2672,0,0,2672,1016041,70.74%,68.43%
2012,New Jersey,3683638,6826144,12.10%,21759,114886,14987,97636,5902545,62.41%,53.96%
2012,New Mexico,786522,1576959,7.30%,6553,21381,5078,22963,1438878,54.66%,49.88%
2012,New York,7128852,15334363,12.50%,49889,0,46222,96111,13321457,53.51%,46.49%
2012,North Carolina,4542488,7500448,6.10%,35567,96070,4359,90843,6952078,65.34%,60.56%
2012,North Dakota,325564,548770,1.70%,1500,0,0,1500,537941,60.52%,59.33%
2012,Ohio,5632423,8894484,2.20%,50313,0,0,50313,8648493,65.13%,63.32%
2012,Oklahoma,1343380,2886686,4.50%,25225,25506,2310,41053,2715732,49.47%,46.54%
2012,Oregon,1820507,3046864,6.60%,13607,0,0,13607,2832164,64.28%,59.75%
2012,Pennsylvania,5783621,10037436,3.30%,50054,0,0,50054,9656146,59.90%,57.62%
2012,Rhode Island,451593,838169,7.50%,3249,0,0,3249,772057,58.49%,53.88%
2012,South Carolina,1981516,3656261,3.50%,21895,34945,6116,46532,3481760,56.91%,54.20%
2012,South Dakota,368270,630180,1.90%,3574,0,2761,6335,611872,60.19%,58.44%
2012,Tennessee,2479733,4975501,3.30%,28135,64430,13138,75421,4735888,52.36%,49.84%
2012,Texas,7993851,19204782,13.50%,157564,405473,112288,484753,16127383,49.57%,41.62%
2012,Utah,1028786,1976573,7.00%,6611,0,0,6611,1831602,56.17%,52.05%
2012,Vermont,301793,501853,1.80%,0,0,0,0,492820,61.24%,60.14%
2012,Virginia,3888186,6345002,7.10%,36425,52956,1983,66475,5828032,66.72%,61.28%
2012,Washington,3172939,5329262,8.20%,16355,88339,8895,72070,4820193,65.83%,59.54%
2012,West Virginia,685099,1472182,0.80%,7052,8573,2052,13648,1446756,47.35%,46.54%
2012,Wisconsin,3084115,4411462,3.20%,21987,46328,20023,66564,4203731,73.37%,69.91%
2012,Wyoming,250701,441429,2.50%,2163,5162,762,5661,424733,59.03%,56.79%
2010,United States,90895897,240897888,8.60%,1608162,1201093,524092,3333347,221776507,40.99%,37.73%
2010,Alabama,1503232,3661750,2.90%,31764,26633,9006,67403,3487654,43.10%,41.05%
2010,Alaska,261128,528459,4.50%,5597,3480,2089,11166,493475,52.92%,49.41%
2010,Arizona,1750840,4806125,10.20%,40130,40455,7993,88578,4225272,41.44%,36.43%
2010,Arkansas,789773,2216571,3.70%,16204,14411,21106,51721,2082028,37.93%,35.63%
2010,California,10529134,28157259,18.00%,165062,0,105133,270195,22823850,46.13%,37.39%
2010,Colorado,1828323,3842941,7.50%,22815,0,11014,33829,3521135,51.92%,47.58%
2010,Connecticut,1153872,2771060,8.50%,19321,0,2894,22215,2512285,45.93%,41.64%
2010,Delaware,316754,696911,5.00%,6598,8157,560,15315,646761,48.98%,45.45%
2010,District of Columbia,135846,507942,9.30%,0,0,0,0,460938,29.47%,26.74%
2010,Florida,5473787,14916715,11.50%,104306,128110,4093,236509,12966802,42.21%,36.70%
2010,Georgia,2623035,7253576,7.60%,56432,228580,25091,310103,6394095,41.02%,36.16%
2010,Hawaii,386302,1064539,9.20%,5912,0,0,5912,960761,40.21%,36.29%
2010,Idaho,459079,1146045,4.40%,7431,26447,3957,37835,1057993,43.39%,40.06%
2010,Illinois,3792770,9736527,9.30%,48418,0,0,48418,8780431,43.20%,38.95%
2010,Indiana,1791832,4895546,3.40%,28028,0,0,28028,4700148,38.12%,36.60%
2010,Iowa,1133429,2328364,3.30%,9455,11190,3197,23842,2227920,50.87%,48.68%
2010,Kansas,857658,2134690,5.30%,9051,8701,5063,22815,1999897,42.89%,40.18%
2010,Kentucky,1417995,3332440,2.50%,20544,28598,14628,63770,3186792,44.50%,42.55%
2010,Louisiana,1298649,3437623,2.90%,39445,21957,26202,87604,3251832,39.94%,37.78%
2010,Maine,580584,1055878,1.60%,0,0,0,0,1038785,55.89%,54.99%
2010,Maryland,1868179,4453952,8.90%,22645,44090.5,13195,79931,3976848,46.98%,41.94%
2010,Massachusetts,2319963,5167053,9.10%,11312,0,0,11312,4684240,49.53%,44.90%
2010,Michigan,3268217,7555775,3.50%,44113,0,0,44113,7249664,45.08%,43.25%
2010,Minnesota,2123369,4040120,4.50%,9796,55943,5807,71546,3787530,56.06%,52.56%
2010,Mississippi,788549,2221684,1.70%,21067,13397,6434,40898,2143946,36.78%,35.49%
2010,Missouri,1997271,4580080,2.60%,30623,28715,19421,78759,4383789,45.56%,43.61%
2010,Montana,367096,769610,1.00%,3716,0,0,3716,758424,48.40%,47.70%
2010,Nebraska,503514,1373145,4.20%,4587,8160,941,13688,1302279,38.66%,36.67%
2010,Nevada,723515,2044399,13.10%,12653,5917,4964,23534,1753166,41.27%,35.39%
2010,New Hampshire,461423,1033552,2.80%,2761,0,0,2761,1001435,46.08%,44.64%
2010,New Jersey,2200974,6752083,12.40%,25007,60077.5,15563,100648,5813989,37.86%,32.60%
2010,New Mexico,630013,1551751,7.70%,6659,9920,3146,19725,1411888,44.62%,40.60%
2010,New York,4763899,15121092,12.60%,56656,0,48542,105198,13105474,36.35%,31.50%
2010,North Carolina,2700706,7320628,6.10%,40116,52114,3621,95851,6777828,39.85%,36.89%
2010,North Dakota,241039,527031,1.70%,1487,0,0,1487,516826,46.64%,45.74%
2010,Ohio,3956028,8827567,2.40%,51712,0,0,51712,8566897,46.18%,44.81%
2010,Oklahoma,1043507,2836265,4.30%,26252,12829,2627,41708,2673056,39.04%,36.79%
2010,Oregon,1487210,2983427,7.00%,14014,0,0,14014,2760025,53.88%,49.85%
2010,Pennsylvania,4055336,9943828,3.30%,51264,0,0,51264,9562603,42.41%,40.78%
2010,Rhode Island,346357,831351,7.70%,3357,0,0,3357,763719,45.35%,41.66%
2010,South Carolina,1365480,3569456,3.90%,23578,16593,6412,46583,3385527,40.33%,38.25%
2010,South Dakota,323410,615153,1.70%,3434,0,2843,6277,598304,54.05%,52.57%
2010,Tennessee,1620542,4876354,3.50%,27451,29973,12157,69581,4636768,34.95%,33.23%
2010,Texas,5066957,18480135,13.70%,173649,209339,104763,487751,15461769,32.77%,27.42%
2010,Utah,653274,1911676,6.80%,6807,0,0,6807,1774967,36.80%,34.17%
2010,Vermont,243617,498078,1.90%,0,0,0,0,488761,49.84%,48.91%
2010,Virginia,2214505,6193893,7.20%,37410,28327,2624,68361,5676934,39.01%,35.75%
2010,Washington,2565589,5186815,8.20%,18235,48932,6956,74123,4687044,54.74%,49.46%
2010,West Virginia,536493,1468244,0.80%,6681,4312,1796,12789,1444109,37.15%,36.54%
2010,Wisconsin,2185021,4361980,3.10%,22724,23082,19572,65378,4161265,52.51%,50.09%
2010,Wyoming,190822,429977,1.80%,2112,2660,682,5454,416931,45.77%,44.38%
2008,United States,132609063,230872030,8.40%,"1,605,448","2,451,085","627,680","3,144,831","213,306,165",62.17%,57.44%
2008,Alabama,2105622,3595708,2.20%,"30,508","53,252","8,042","61,155","3,455,447",60.94%,58.56%
2008,Alaska,327341,507645,3.70%,"5,014","6,708","1,732","9,234","479,628",68.25%,64.48%
2008,Arizona,2320851,4673718,11.60%,"39,589","82,232","7,534","84,472","4,047,095",57.35%,49.66%
2008,Arkansas,1095958,2174846,2.90%,"14,716","31,169","19,908","40,255","2,071,520",52.91%,50.39%
2008,California,13743177,27411094,17.90%,"173,670",0,"120,753","234,047","22,270,461",61.71%,50.14%
2008,Colorado,2422236,3708955,8.00%,"23,274",0,"11,654","29,101","3,383,138",71.60%,65.31%
2008,Connecticut,,2725917,8.50%,"20,661",0,"2,328","21,825","2,472,389",,
2008,Delaware,413562,680493,5.30%,"7,075","17,216",551,"15,959","628,468",65.80%,60.77%
2008,District of Columbia,266871,481971,10.30%,0,0,0,0,"432,328",61.73%,55.37%
2008,Florida,8453743,14558436,11.20%,"102,388","279,760","4,528","244,532","12,683,359",66.65%,58.07%
2008,Georgia,3940705,7063638,7.30%,"52,719","397,081","23,448","262,984","6,285,008",62.70%,55.79%
2008,Hawaii,456064,1036088,9.70%,"5,955",0,0,"5,955","929,632",49.06%,44.02%
2008,Idaho,667506,1117842,4.90%,"7,290","49,513","3,361","33,727","1,029,341",64.85%,59.71%
2008,Illinois,5578195,9615700,9.20%,"45,474",0,0,"45,474","8,685,582",64.22%,58.01%
2008,Indiana,2805986,4826231,3.00%,"28,322",0,0,"28,322","4,653,122",60.30%,58.14%
2008,Iowa,1543662,2298515,2.60%,"8,766","22,958","3,159","21,825","2,216,929",69.63%,67.16%
2008,Kansas,1264208,2100084,4.20%,"8,539","16,263","4,958","19,150","1,992,730",63.44%,60.20%
2008,Kentucky,1858578,3277617,2.20%,"21,706","51,035","12,277","53,362","3,152,147",58.96%,56.71%
2008,Louisiana,1979852,3342279,2.00%,"38,381","40,025","24,636","70,712","3,204,721",61.78%,59.24%
2008,Maine,744456,1049816,1.30%,0,0,0,0,"1,036,168",71.85%,70.91%
2008,Maryland,2661905,4342850,7.80%,"23,324","96,360","13,220","78,114","3,925,994",67.80%,61.29%
2008,Massachusetts,3102995,5058035,8.60%,"11,408",0,0,"11,408","4,611,636",67.29%,61.35%
2008,Michigan,5039080,7528460,3.30%,"48,738",0,0,"48,738","7,231,283",69.68%,66.93%
2008,Minnesota,2921147,3975974,4.00%,"9,910","127,627","5,081","76,264","3,740,671",78.09%,73.47%
2008,Mississippi,,2190402,1.90%,"22,754","22,267","2,922","35,349","2,113,435",,
2008,Missouri,2950504,4507688,2.50%,"30,186","57,360","20,683","69,208","4,325,788",68.21%,65.45%
2008,Montana,497599,755384,1.30%,"3,545",0,0,"3,545","742,019",67.06%,65.87%
2008,Nebraska,811923,1348048,4.30%,"4,520","19,606",846,"14,746","1,275,336",63.66%,60.23%
2008,Nevada,970019,2000277,14.10%,"12,743","13,337","3,908","21,366","1,696,872",57.17%,48.49%
2008,New Hampshire,719643,1021787,2.60%,"2,702",0,0,"2,702","992,519",72.51%,70.43%
2008,New Jersey,3910220,6651284,11.70%,"25,953","128,737","15,849","98,246","5,774,838",67.71%,58.79%
2008,New Mexico,833365,1505830,8.30%,"6,402","20,883","3,724","18,706","1,362,140",61.18%,55.34%
2008,New York,7721718,14876971,12.40%,"60,347",0,"52,225","86,460","12,945,767",59.65%,51.90%
2008,North Carolina,4354571,7096503,5.90%,"39,482","109,678","3,409","96,026","6,581,783",66.16%,61.36%
2008,North Dakota,321133,512768,1.30%,"1,452",0,0,"1,452","504,650",63.63%,62.63%
2008,Ohio,5773777,8757453,2.20%,"51,686",0,0,"51,686","8,513,103",67.82%,65.93%
2008,Oklahoma,1474694,2770219,4.00%,"25,864","27,940","3,073","41,371","2,618,039",56.33%,53.23%
2008,Oregon,1845251,2916246,6.90%,"14,167",0,0,"14,167","2,700,858",68.32%,63.27%
2008,Pennsylvania,6071357,9813664,3.10%,"49,215",0,0,"49,215","9,460,225",64.18%,61.87%
2008,Rhode Island,475428,825786,7.00%,"4,045",0,0,"4,045","763,936",62.23%,57.57%
2008,South Carolina,1927153,3473488,3.40%,"24,326","41,254","1,947","45,927","3,309,462",58.23%,55.48%
2008,South Dakota,387449,602539,1.20%,"3,342",0,"2,720","4,702","590,607",65.60%,64.30%
2008,Tennessee,2618238,4771926,3.10%,"27,228","58,109","10,578","61,572","4,562,424",57.39%,54.87%
2008,Texas,,17756112,13.50%,"172,506","427,080","102,921","437,507","14,921,530",,
2008,Utah,971185,1840087,7.20%,"6,552",0,0,"6,552","1,701,049",57.09%,52.78%
2008,Vermont,326822,492610,2.00%,0,0,0,0,"482,758",67.70%,66.34%
2008,Virginia,3753059,6022123,6.60%,"38,276","53,614","4,471","67,319","5,557,344",67.53%,62.32%
2008,Washington,3071587,5032960,7.80%,"17,926","113,134","11,768","80,377","4,560,012",67.36%,61.03%
2008,West Virginia,731691,1453045,0.80%,"6,059","8,283","2,005","11,203","1,430,218",51.16%,50.36%
2008,Wisconsin,2997086,4306876,3.00%,"23,379","50,418","18,105","57,641","4,120,029",72.74%,69.59%
2008,Wyoming,256035,418040,1.70%,"2,084","5,438",727,"5,167","405,766",63.10%,61.25%
2006,United States,85769132,225485399,8.60%,"1,566,526","2,418,574","587,305","3,363,118","207,148,064",41.40%,38.04%
2006,Alabama,,3513952,2.30%,"28,241","55,766","7,795","63,919","3,369,212",,
2006,Alaska,238307,492452,4.50%,"5,069","6,095",973,"9,090","461,202",51.67%,48.39%
2006,Arizona,1553032,4490327,12.60%,"35,892","73,265","6,213","78,738","3,845,808",40.38%,34.59%
2006,Arkansas,780409,2130080,3.30%,"13,729","31,508","16,666","46,149","2,013,638",38.76%,36.64%
2006,California,8899059,26739781,18.90%,"175,512",0,"111,744","287,256","21,398,706",41.59%,33.28%
2006,Colorado,1586105,3569901,8.00%,"22,481",0,"8,196","30,677","3,253,632",48.75%,44.43%
2006,Connecticut,1162391,2683538,7.90%,"20,566",0,"2,571","23,137","2,448,401",47.48%,43.32%
2006,Delaware,258053,659410,5.30%,"7,206","16,958",600,"16,285","608,176",42.43%,39.13%
2006,District of Columbia,122356,466827,9.70%,0,0,0,0,"421,545",29.03%,26.21%
2006,Florida,4884544,14211669,11.80%,"92,969","272,977","4,785","234,243","12,300,449",39.71%,34.37%
2006,Georgia,2143845,6799654,7.40%,"52,792","422,790","22,851","287,038","6,009,442",35.67%,31.53%
2006,Hawaii,348988,1012975,8.10%,"5,967",0,0,"5,967","924,957",37.73%,34.45%
2006,Idaho,458927,1072895,4.40%,"7,124","48,609","2,482","33,911","991,777",46.27%,42.77%
2006,Illinois,3586292,9483856,9.20%,"45,106",0,0,"45,106","8,566,235",41.87%,37.81%
2006,Indiana,1719351,4743856,3.10%,"26,091",0,0,"26,091","4,570,705",37.62%,36.24%
2006,Iowa,1071509,2267991,2.80%,"8,875","22,622","3,560","23,746","2,180,741",49.14%,47.24%
2006,Kansas,864083,2062668,4.70%,"8,816","15,518","4,666","21,241","1,944,482",44.44%,41.89%
2006,Kentucky,1370062,3218000,1.90%,"20,000","41,162","10,162","50,743","3,106,115",44.11%,42.57%
2006,Louisiana,954896,3239317,2.00%,"37,012","38,057","24,072","80,113","3,094,418",30.86%,29.48%
2006,Maine,,1037200,1.70%,0,0,0,0,"1,019,568",,
2006,Maryland,1809237,4261205,7.90%,"22,945","75,698","14,271","75,065","3,849,505",47.00%,42.46%
2006,Massachusetts,2243835,4970780,8.70%,"11,032",0,0,"11,032","4,527,290",49.56%,45.14%
2006,Michigan,3852008,7532918,3.60%,"51,577",0,0,"51,577","7,210,156",53.42%,51.14%
2006,Minnesota,2217552,3896561,4.20%,"9,108","127,289","4,007","76,760","3,656,145",60.65%,56.91%
2006,Mississippi,,2154112,1.30%,"21,068","24,107","1,970","35,092","2,091,017",,
2006,Missouri,2178278,4427266,2.20%,"30,167","54,963","18,374","76,023","4,253,843",51.21%,49.20%
2006,Montana,411061,734669,1.00%,"3,572",0,0,"3,572","723,750",56.80%,55.95%
2006,Nebraska,610499,1325932,4.30%,"4,407","18,731",662,"14,435","1,254,482",48.67%,46.04%
2006,Nevada,586274,1907976,14.40%,"12,901","13,208","3,518","23,023","1,610,204",36.41%,30.73%
2006,New Hampshire,418550,1006234,3.40%,"2,805",0,0,"2,805","969,217",43.18%,41.60%
2006,New Jersey,2315643,6565183,12.00%,"27,371","132,636","13,874","107,563","5,669,798",40.84%,35.27%
2006,New Mexico,568597,1464560,8.00%,"6,639","16,493","2,831","17,717","1,329,678",42.76%,38.82%
2006,New York,4703830,14665626,12.40%,"63,315",0,"53,533","116,848","12,730,240",36.95%,32.07%
2006,North Carolina,2036451,6799585,5.80%,"37,460","110,419","3,101","95,771","6,309,438",32.28%,29.95%
2006,North Dakota,220479,503647,1.50%,"1,363",0,0,"1,363","494,729",44.57%,43.78%
2006,Ohio,4184072,8687609,2.20%,"49,166",0,0,"49,166","8,447,316",49.53%,48.16%
2006,Oklahoma,,2709819,3.90%,"26,243","27,415","4,329","44,280","2,559,856",,
2006,Oregon,1399650,2829482,7.30%,"13,707",0,0,"13,707","2,609,223",53.64%,49.47%
2006,Pennsylvania,,9680466,3.00%,"44,397",0,0,"44,397","9,345,655",,
2006,Rhode Island,392882,824887,8.10%,"3,996",0,0,"3,996","754,075",52.10%,47.63%
2006,South Carolina,1117311,3332190,3.20%,"23,616","38,353","3,072","45,865","3,179,695",35.14%,33.53%
2006,South Dakota,341105,589178,1.40%,"3,359",0,"2,444","5,803","575,127",59.31%,57.90%
2006,Tennessee,1868363,4641909,3.10%,"25,745","52,558","8,630","60,654","4,437,356",42.11%,40.25%
2006,Texas,,17029802,13.40%,"172,116","431,967","101,916","490,016","14,257,793",,
2006,Utah,582561,1752158,7.10%,"6,430",0,0,"6,430","1,621,325",35.93%,33.25%
2006,Vermont,263025,487141,2.00%,0,0,0,0,"477,398",55.10%,53.99%
2006,Virginia,2398589,5867219,6.70%,"36,688","48,144","4,499","65,259","5,408,856",44.35%,40.88%
2006,Washington,2085074,4861001,8.00%,"17,561","108,076","11,568","83,167","4,388,954",47.51%,42.89%
2006,West Virginia,473014,1439052,0.70%,"5,733","7,668","1,416","10,983","1,417,996",33.36%,32.87%
2006,Wisconsin,2183155,4240696,2.90%,"23,431","55,806","15,907","67,241","4,050,475",53.90%,51.48%
2006,Wyoming,196217,400187,2.00%,"2,114","5,225",609,"5,336","386,847",50.72%,49.03%
2004,United States,123535883,220336019,8.20%,"1,490,169","2,387,283","474,632","3,158,443","202,972,858",60.86%,56.07%
2004,Alabama,1890317,3427542,1.90%,"26,521","36,795","7,745","52,664","3,309,755",57.11%,55.15%
2004,Alaska,314502,476378,4.00%,"4,515","5,547",951,"8,240","449,083",70.03%,66.02%
2004,Arizona,2038069,4215706,11.50%,"31,631","69,343","5,671","71,974","3,658,926",55.70%,48.34%
2004,Arkansas,1070573,2072986,2.80%,"13,477","29,128","14,844","42,885","1,972,057",54.29%,51.64%
2004,California,12589367,26246548,18.80%,"166,053",0,"110,261","276,314","21,035,883",59.85%,47.97%
2004,Colorado,2148036,3443164,7.50%,"19,756",0,"7,383","27,139","3,157,788",68.02%,62.39%
2004,Connecticut,1607808,2652587,7.30%,"20,018",0,"2,552","22,570","2,436,378",65.99%,60.61%
2004,Delaware,377407,635370,4.70%,"6,973","18,725",539,"16,875","588,633",64.12%,59.40%
2004,District of Columbia,230105,458758,10.00%,0,0,0,0,"412,882",55.73%,50.16%
2004,Florida,7640319,13643828,11.20%,"84,733","281,170","4,888","230,206","11,885,513",64.28%,56.00%
2004,Georgia,3317336,6499325,6.80%,"48,625","419,350","23,344","281,644","5,775,727",57.44%,51.04%
2004,Hawaii,431662,982882,7.90%,"5,946",0,0,"5,946","899,288",48.00%,43.92%
2004,Idaho,612786,1016255,4.10%,"6,312","44,580","2,370","30,972","943,617",64.94%,60.30%
2004,Illinois,5350493,9391420,9.00%,"44,379",0,0,"44,379","8,501,813",62.93%,56.97%
2004,Indiana,2512142,4660157,2.70%,"23,760",0,0,"23,760","4,510,573",55.69%,53.91%
2004,Iowa,1521966,2239979,2.60%,"8,611","22,832","3,317","23,344","2,158,396",70.51%,67.95%
2004,Kansas,1213108,2032763,4.30%,"9,152","14,309","4,525","20,832","1,924,522",63.03%,59.68%
2004,Kentucky,1816867,3157464,1.70%,"17,763","33,286","8,006","42,412","3,061,375",59.35%,57.54%
2004,Louisiana,1956590,3379937,1.80%,"36,745","38,470","24,387","80,367","3,238,731",60.41%,57.89%
2004,Maine,751519,1022043,1.60%,0,0,0,0,"1,005,690",74.73%,73.53%
2004,Maryland,2395791,4179376,7.20%,"23,727","76,676","14,351","76,416","3,802,045",63.01%,57.32%
2004,Massachusetts,2927455,4935787,8.40%,"10,365",0,0,"10,365","4,510,816",64.90%,59.31%
2004,Michigan,4875692,7508568,3.40%,"48,591",0,0,"48,591","7,204,686",67.67%,64.94%
2004,Minnesota,2842912,3819020,3.90%,"8,613","114,226","3,872","69,598","3,600,480",78.96%,74.44%
2004,Mississippi,,2133681,1.20%,"20,429","21,324","1,979","33,070","2,075,007",,
2004,Missouri,2764635,4339414,1.90%,"30,775","53,832","17,400","75,091","4,181,874",66.11%,63.71%
2004,Montana,456096,711858,1.00%,"3,800",0,0,"3,800","700,939",65.07%,64.07%
2004,Nebraska,792906,1305430,4.00%,"4,042","17,994",805,"13,844","1,239,369",63.98%,60.74%
2004,Nevada,831563,1776962,13.20%,"10,971","12,521","3,610","20,842","1,521,561",54.65%,46.80%
2004,New Hampshire,683672,984422,3.20%,"2,441",0,0,"2,441","950,479",71.93%,69.45%
2004,New Jersey,3638153,6513394,11.70%,"28,107","143,315","14,180","113,945","5,637,382",64.54%,55.86%
2004,New Mexico,775301,1411419,7.40%,"6,341","17,725","2,676","17,880","1,289,094",60.14%,54.93%
2004,New York,7448266,14598898,12.60%,"64,596",0,"54,524","119,120","12,640,317",58.92%,51.02%
2004,North Carolina,3552449,6505150,5.30%,"34,917","111,537","2,882","93,568","6,066,809",58.56%,54.61%
2004,North Dakota,316049,496479,1.30%,"1,266",0,0,"1,266","488,759",64.66%,63.66%
2004,Ohio,5722443,8624277,2.00%,"44,770",0,0,"44,770","8,407,021",68.07%,66.35%
2004,Oklahoma,,2649994,3.40%,"24,767","28,435","4,329","43,314","2,516,580",,
2004,Oregon,1851671,2736472,6.80%,"13,219",0,0,"13,219","2,537,173",72.98%,67.67%
2004,Pennsylvania,,9554349,2.70%,"40,692",0,0,"40,692","9,255,690",,
2004,Rhode Island,440228,827513,7.60%,"3,701","26,085",368,"17,112","747,510",58.89%,53.20%
2004,South Carolina,1626720,3198733,2.70%,"24,173","38,856","2,217","45,818","3,066,549",53.05%,50.86%
2004,South Dakota,394930,576472,1.40%,"3,101",0,0,"3,101","565,300",69.86%,68.51%
2004,Tennessee,2456610,4496929,2.60%,"25,834","47,392","8,410","57,940","4,322,069",56.84%,54.63%
2004,Texas,,16284659,12.50%,"169,110","428,773","102,072","485,569","13,763,508",,
2004,Utah,942010,1664066,6.80%,"5,802",0,0,"5,802","1,545,108",60.97%,56.61%
2004,Vermont,314220,480053,2.10%,0,0,0,0,"469,972",66.86%,65.46%
2004,Virginia,3223156,5699175,6.20%,"35,472","43,470","4,392","61,599","5,284,227",61.00%,56.55%
2004,Washington,2883499,4683829,7.40%,"16,559","125,222",120,"79,290","4,257,936",67.72%,61.56%
2004,West Virginia,769645,1425689,0.60%,"4,980","6,977","1,216","9,685","1,407,450",54.68%,53.98%
2004,Wisconsin,3016288,4172068,2.70%,"22,905","54,970","13,883","64,273","3,995,149",75.50%,72.30%
2004,Wyoming,245789,386796,1.70%,"1,923","4,418",563,"4,695","375,525",65.45%,63.54%
2002,United States,80295249,215461549,8.00%,"1,456,927","2,451,708","485,282","3,168,063","198,364,707",40.48%,37.27%
2002,Alabama,,3371451,1.80%,"28,440","39,713","5,309","53,606","3,257,159",,
2002,Alaska,232852,457154,3.80%,"4,431","5,229",900,"7,946","431,836",53.92%,50.94%
2002,Arizona,1255615,3998148,11.10%,"30,741","66,485","4,587","68,571","3,485,783",36.02%,31.40%
2002,Arkansas,814176,2031787,2.60%,"12,378","27,377","12,128","38,195","1,940,766",41.95%,40.07%
2002,California,7738821,25622609,18.80%,"163,361",0,"113,185","276,546","20,529,013",37.70%,30.20%
2002,Colorado,1424029,3362098,7.20%,"19,085",0,"6,215","25,300","3,094,727",46.01%,42.36%
2002,Connecticut,1090756,2617814,7.10%,"20,525",0,"2,186","22,711","2,409,238",45.27%,41.67%
2002,Delaware,,612919,4.40%,"6,879","20,201",551,"17,531","568,420",,
2002,District of Columbia,,458631,10.00%,0,0,0,0,"412,768",,
2002,Florida,5143674,13005435,10.90%,"80,352","291,315","5,223","231,233","11,356,610",45.29%,39.55%
2002,Georgia,,6287215,6.50%,"47,004","367,349","20,822","251,501","5,627,045",,
2002,Hawaii,385462,950520,8.00%,"5,635",0,0,"5,635","868,843",44.36%,40.55%
