"
District Number","
District Name","ELA - All Students
 Prof","ELA - White 
 Prof",ELA - African American Gap,"ELA - Hispanic
Gap","ELA - Asian
Gap","ELA - Multiracial
Gap","ELA - American Indian/ Alaskan Native
Gap","ELA - Native Hawaiian/
Pacific Islander
Gap","ELA - Not Econ Disadv
 Prof","ELA - Econ Disadv
Gap","ELA - No Disabilities
 Prof","ELA - Students w/
Disabilities
Gap","ELA - Not LEP
  Prof","ELA - LEP
Gap","ELA - Male
Prof","ELA - Female
Gap","MATH - All Students
 Prof","MATH - White 
 Prof",MATH - African American Gap,"MATH - Hispanic
Gap","MATH - Asian
Gap","MATH - Multiracial
Gap","MATH - American Indian/ Alaskan Native
Gap","MATH - Native Hawaiian/
Pacific Islander
Gap","MATH - Not Econ Disadv
 Prof","MATH - Econ Disadv
Gap","MATH - No Disabilities
 Prof","MATH - Students w/
Disabilities
Gap","MATH - Not LEP
  Prof","MATH - LEP
Gap","MATH - Male
Prof","MATH - Female
Gap"
5200,NOXUBEE COUNTY SCHOOL DISTRICT,16.8%,,,,,,,,,,18.6%,-18.6,17.2%,-17.2,14.6%,4.7,19.0%,,,,,,,,,,20.6%,-16.3,19.3%,-13.0,17.4%,3.5
3021,OCEAN SPRINGS SCHOOL DIST,68.9%,71.2%,-16.9,-8.4,11.0,1.7,,,75.3%,-15.9,75.3%,-43.6,69.5%,-46.4,64.8%,8.6,76.2%,78.4%,-19.1,0.0,8.7,1.3,-5.7,,81.6%,-13.2,82.1%,-39.9,76.6%,-31.6,77.1%,-1.8
921,OKOLONA SEPARATE SCHOOL DIST,23.9%,50.0%,-28.0,,,,,,,,27.6%,-23.1,23.9%,,14.4%,19.2,37.2%,45.5%,-9.3,,,,,,,,41.7%,-30.1,37.2%,,29.1%,16.9
3620,OXFORD SCHOOL DISTRICT,58.0%,79.2%,-47.2,-43.1,-7.9,-17.4,,,74.7%,-39.6,62.5%,-42.2,60.3%,-33.2,54.8%,6.4,60.7%,80.8%,-45.6,-37.8,2.4,-16.8,,,77.8%,-39.1,65.3%,-40.8,61.9%,-15.7,60.7%,0.1
3022,PASCAGOULA GAUTIER SCHOOL DIST,48.9%,62.9%,-22.8,-17.6,5.3,-9.5,,,,,53.5%,-38.7,51.3%,-28.1,45.6%,6.8,53.8%,67.2%,-21.5,-17.0,15.4,-12.1,,,,,58.2%,-37.3,55.9%,-23.6,53.7%,0.3
2423,PASS CHRISTIAN PUBLIC SCHOOL DIST,58.9%,64.0%,-15.8,-32.4,20.6,-6.2,,,73.4%,-24.2,65.2%,-48.9,59.4%,-30.8,54.4%,9.3,59.7%,67.9%,-26.6,-47.9,32.1,-10.9,,,78.6%,-31.7,66.1%,-47.8,59.9%,-23.5,60.2%,-1.2
6120,PEARL PUBLIC SCHOOL DIST,52.3%,60.7%,-18.7,-5.0,9.9,-7.1,,-29.9,64.4%,-17.3,57.0%,-34.2,52.6%,-8.4,48.6%,7.2,55.2%,63.7%,-18.9,-2.5,23.0,-9.8,,-32.9,64.2%,-12.6,59.7%,-31.2,55.4%,-5.4,54.8%,0.9
5500,PEARL RIVER CO SCHOOL DIST,48.8%,50.0%,-24.2,-12.1,,-1.1,-11.5,,57.8%,-15.3,52.0%,-28.3,49.2%,-38.1,44.2%,9.6,55.7%,56.9%,-25.2,-24.5,,1.8,,,61.6%,-9.8,59.2%,-29.8,56.2%,-45.7,55.7%,-0.1
5600,PERRY CO SCHOOL DIST,36.4%,43.3%,-20.6,,,-8.3,,,41.3%,-6.2,39.2%,-18.4,36.4%,,31.8%,9.5,40.7%,47.8%,-22.6,,,-7.8,,,49.5%,-11.2,43.6%,-17.3,40.7%,,38.0%,5.6
1821,PETAL SCHOOL DIST,62.5%,69.1%,-22.5,-31.8,-14.6,-10.6,,,76.5%,-24.1,70.8%,-42.5,63.7%,-48.2,60.5%,4.2,74.9%,79.5%,-16.1,-23.4,-9.5,-2.7,,,85.3%,-18.0,83.4%,-45.1,76.2%,-51.6,74.8%,0.3
5020,PHILADELPHIA PUBLIC SCHOOL DIST,25.3%,40.0%,-15.8,,,,,,,,30.6%,-23.8,25.7%,,22.8%,4.9,30.6%,51.2%,-23.4,,,,,,,,37.1%,-28.0,30.6%,,25.3%,10.5
5520,PICAYUNE SCHOOL DIST,41.9%,48.4%,-18.5,-19.2,34.0,-10.9,,,,,46.0%,-34.2,42.3%,-12.1,38.8%,6.3,44.7%,50.6%,-17.1,-10.2,14.1,-9.0,,,,,49.3%,-37.1,45.0%,-11.0,46.0%,-2.7
5820,PONTOTOC CITY SCHOOLS,45.6%,57.6%,-22.3,-27.6,-24.3,-8.4,,,60.0%,-20.2,52.7%,-36.1,49.0%,-33.9,44.5%,2.3,62.6%,71.5%,-18.8,-20.8,-7.9,0.4,,,71.1%,-11.9,69.1%,-33.0,65.8%,-32.2,60.2%,4.9
5800,PONTOTOC CO SCHOOL DIST,50.1%,53.8%,-17.8,-17.2,,-1.6,,,59.1%,-13.8,56.2%,-45.2,51.9%,-31.9,46.3%,7.8,64.2%,67.5%,-17.8,-10.0,32.5,-19.7,,,74.3%,-15.3,70.7%,-44.8,65.8%,-27.7,62.9%,2.7
5530,POPLARVILLE SEPARATE SCHOOL DIST,53.5%,55.3%,-16.8,-16.8,,-3.4,,,67.4%,-22.5,60.0%,-39.8,53.8%,,53.0%,1.1,54.9%,57.9%,-19.2,-21.5,,-17.5,,,63.3%,-13.6,60.5%,-34.7,55.1%,,57.3%,-4.8
5900,PRENTISS CO SCHOOL DIST,48.2%,50.4%,-20.4,,,-34.1,,,58.7%,-13.8,55.9%,-38.0,48.3%,,44.4%,7.9,58.7%,61.0%,-28.5,,,-27.7,,,71.4%,-16.9,67.6%,-42.9,58.8%,,57.1%,3.3
6000,QUITMAN CO SCHOOL DIST,29.7%,,,,,,,,,,32.7%,-21.4,29.7%,,22.8%,13.7,37.5%,,,,,,,,,,40.7%,-24.3,37.5%,,33.2%,8.3
1212,QUITMAN SCHOOL DIST,30.0%,38.9%,-16.3,,,1.1,,,,,35.5%,-29.7,30.0%,,25.1%,10.0,42.7%,51.6%,-15.2,,,-26.6,,,,,50.4%,-37.8,42.7%,,39.4%,6.6
6100,RANKIN CO SCHOOL DIST,61.0%,67.6%,-19.7,-29.9,2.5,-9.0,,,70.9%,-21.9,65.8%,-40.5,61.8%,-38.4,57.8%,6.7,65.9%,72.7%,-21.4,-24.1,5.7,-9.2,,,74.6%,-19.0,70.9%,-40.6,66.4%,-23.1,66.2%,-0.6
2515,REIMAGINE PREP,21.3%,,,,,,,,,,23.0%,-20.6,21.5%,,18.0%,7.3,25.6%,,,,,,,,,,27.7%,-25.3,25.2%,,25.7%,-0.2
5620,RICHTON SCHOOL DIST,39.8%,42.3%,-7.0,,,-12.3,,,47.9%,-11.8,44.1%,-31.9,39.8%,,31.8%,15.9,64.0%,63.5%,0.8,,,9.2,,,70.0%,-8.7,68.2%,-33.2,64.0%,,60.9%,6.0
2480,ROGER AMOS MCMURTRY ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*,,*,
6200,SCOTT CO SCHOOL DIST,38.5%,47.5%,-15.5,-16.7,,-15.2,,,,,43.2%,-29.9,41.1%,-26.6,34.5%,8.1,41.6%,52.4%,-16.8,-23.2,,-20.1,,,,,46.0%,-26.9,44.4%,-28.1,39.9%,3.4
6920,SENATOBIA MUNICIPAL SCHOOL DIST,43.0%,61.9%,-33.5,-20.2,,,,,61.6%,-27.2,49.7%,-37.1,43.1%,-9.8,38.2%,9.8,54.3%,69.4%,-27.5,-8.5,,,,,69.0%,-21.5,61.1%,-38.0,54.2%,2.1,53.8%,0.9
6400,SIMPSON CO SCHOOL DIST,33.6%,42.5%,-17.0,-10.4,,-7.2,,,47.3%,-16.1,38.9%,-29.6,33.9%,-24.8,29.2%,8.9,37.5%,45.4%,-14.9,-16.8,,-7.2,,,52.9%,-18.1,42.8%,-28.2,37.9%,-21.2,36.9%,1.3
2535,SMILOW PREP,23.7%,,,,,,,,,,25.4%,-20.9,23.7%,,23.6%,0.2,24.1%,,,,,,,,,,25.9%,-21.4,24.1%,,26.0%,-3.7
6500,SMITH CO SCHOOL DIST,45.4%,54.0%,-29.5,-17.6,,-9.6,,,63.4%,-25.1,50.0%,-39.1,45.5%,,42.5%,5.8,48.3%,56.5%,-26.6,-23.2,,-18.6,,,64.6%,-22.3,52.1%,-34.1,48.4%,,47.6%,1.4
6312,SOUTH DELTA SCHOOL DISTRICT,20.0%,,,,,,,,,,21.6%,-12.3,20.0%,,18.2%,3.4,27.3%,,,,,,,,,,29.8%,-21.7,27.3%,,23.5%,7.1
5412,SOUTH PANOLA SCHOOL DISTRICT,44.1%,56.1%,-21.2,-7.2,-36.1,-4.8,,,52.2%,-10.7,47.8%,-30.0,44.3%,-19.3,39.1%,10.5,48.6%,57.9%,-16.7,-3.7,2.1,-6.7,,,57.4%,-11.5,52.6%,-31.8,48.8%,-18.4,46.5%,4.5
5712,SOUTH PIKE SCHOOL DIST,36.2%,57.3%,-23.9,,,-7.3,,,,,39.3%,-30.8,36.2%,,30.6%,11.4,40.9%,53.6%,-15.2,,,7.5,,,,,43.8%,-30.7,40.9%,,40.9%,-0.1
7012,SOUTH TIPPAH SCHOOL DIST,46.3%,51.6%,-17.8,-11.3,,-12.6,,,57.6%,-15.7,53.6%,-33.6,47.0%,-15.3,41.3%,10.6,62.8%,66.3%,-15.9,2.6,,-15.2,,,73.0%,-14.1,73.1%,-46.9,63.4%,-12.6,60.1%,5.7
5321,STARKVILLE- OKTIBBEHA CONS SD,42.0%,68.6%,-40.9,-32.9,20.4,,,,70.3%,-41.6,46.4%,-31.1,42.0%,0.1,38.3%,7.6,41.2%,66.7%,-39.0,-20.5,26.2,,,,69.8%,-41.3,45.0%,-26.6,41.1%,6.3,41.2%,0.0
6600,STONE CO SCHOOL DIST,54.5%,57.1%,-13.5,-18.2,,5.2,,,66.7%,-19.1,58.9%,-39.0,54.8%,,47.6%,14.6,65.0%,68.5%,-17.7,3.7,,-7.8,,,78.5%,-20.8,69.7%,-41.5,65.1%,,64.0%,2.1
6711,SUNFLOWER CO CONSOLIDATE SCH DIST,33.8%,40.0%,-6.4,2.3,,*,,,,,36.7%,-22.5,33.8%,,29.6%,8.6,38.6%,53.8%,-15.8,-1.8,,,,,,,39.7%,-8.1,38.6%,,36.1%,4.9
6900,TATE CO SCHOOL DIST,35.9%,41.9%,-15.9,2.9,,-13.8,,,46.9%,-15.0,40.5%,-30.1,35.9%,1.2,31.2%,9.4,42.1%,49.3%,-19.5,4.7,,-16.5,,,55.7%,-18.2,46.9%,-29.0,42.1%,-0.2,42.1%,0.0
7100,TISHOMINGO CO SP MUN SCH DIST,49.9%,50.3%,-14.3,-3.9,,-0.3,,,60.9%,-17.7,56.1%,-41.2,50.5%,-27.6,47.6%,4.6,55.5%,55.1%,-1.3,5.2,,-1.5,,,64.6%,-14.5,60.2%,-30.9,55.7%,-8.5,56.5%,-2.0
7200,TUNICA COUNTY SCHOOL DISTRICT,28.8%,53.8%,-25.9,-8.3,,-12.1,,,,,31.0%,-22.2,29.0%,-7.6,25.2%,7.4,47.4%,53.8%,-6.4,0.7,,-20.5,,,,,50.0%,-26.5,47.6%,-11.9,45.0%,5.0
4120,TUPELO PUBLIC SCHOOL DIST,50.5%,74.3%,-39.6,-26.9,-6.1,-17.2,,,71.5%,-32.5,55.3%,-36.5,51.8%,-26.7,47.2%,6.4,58.9%,78.7%,-33.5,-17.8,4.9,-14.8,,,76.4%,-26.6,63.8%,-35.4,59.6%,-12.5,58.1%,1.6
7300,UNION CO SCHOOL DIST,66.9%,69.8%,-24.4,-26.9,,-5.9,,,74.8%,-14.4,73.4%,-40.6,67.4%,-48.6,62.5%,8.8,75.2%,77.7%,-17.7,-16.7,,-23.4,,,82.8%,-13.4,82.7%,-46.9,75.5%,-28.4,74.6%,1.2
5131,UNION PUBLIC SCHOOL DIST,59.3%,68.1%,-36.0,,,-3.4,,,,,69.4%,-41.0,59.3%,,54.9%,9.5,69.0%,77.5%,-36.2,,,-15.0,,,,,78.6%,-41.1,69.0%,,68.0%,2.2
7500,VICKSBURG WARREN SCHOOL DIST,40.7%,60.7%,-30.1,-4.7,-12.1,-12.4,,,,,46.0%,-38.1,41.0%,-27.7,37.3%,6.8,43.0%,62.1%,-28.9,-8.4,-7.1,-13.0,,,,,47.6%,-34.3,43.2%,-23.8,41.5%,2.9
7400,WALTHALL CO SCHOOL DIST,33.2%,49.3%,-23.6,-24.3,0.7,-16.0,,,,,36.4%,-27.0,33.3%,-3.3,26.4%,13.4,37.1%,57.7%,-30.7,-28.3,,-19.0,,,,,40.6%,-29.9,37.3%,-17.3,32.9%,8.2
8113,WATER VALLEY SCHOOL DISTRICT,41.1%,51.8%,-23.7,,,16.2,,,61.2%,-27.6,45.0%,-30.1,41.7%,,40.1%,2.0,46.4%,59.1%,-26.6,,,-0.8,,,62.8%,-22.1,50.7%,-32.8,46.9%,,46.8%,-0.9
7700,WAYNE CO SCHOOL DIST,41.2%,50.8%,-16.5,-30.3,,-6.4,,,,,46.8%,-35.3,42.0%,-38.8,36.2%,10.0,45.6%,56.9%,-19.2,-24.8,,-14.0,,,,,51.3%,-38.0,46.6%,-41.2,45.2%,0.8
7800,WEBSTER CO SCHOOL DIST,53.6%,59.8%,-24.2,,,-26.5,,,,,58.3%,-34.8,53.8%,,49.4%,8.8,56.1%,61.2%,-18.8,,,-33.6,,,,,60.2%,-30.3,56.1%,,53.3%,5.6
618,WEST BOLIVAR CONS SCHOOL DISTRICT,15.5%,5.0%,16.0,,,,,,,,17.1%,-11.4,15.5%,,12.4%,6.1,14.1%,18.2%,-4.4,,,,,,,,14.9%,-5.7,14.1%,,13.8%,0.6
3112,WEST JASPER CONSOLIDATED SCHOOLS,46.2%,54.9%,-14.2,-27.6,,1.6,,,63.6%,-20.9,53.5%,-36.1,46.3%,,39.0%,14.3,50.3%,60.7%,-18.1,-6.9,,15.5,,,62.2%,-14.1,58.0%,-36.1,50.1%,9.9,46.6%,7.1
1321,WEST POINT CONSOLIDATED SCHOOL DIST,32.1%,51.5%,-23.6,-1.5,,-10.8,,,,,36.4%,-27.9,32.1%,,28.5%,7.2,39.6%,51.3%,-14.1,-1.3,,-12.8,,,,,45.2%,-34.7,39.4%,,36.6%,6.1
6812,WEST TALLAHATCHIE SCHOOL DISTRICT,19.5%,,,,,,,,,,23.0%,-18.1,19.5%,,13.7%,12.0,30.2%,,,,,,,,,,35.1%,-28.4,30.2%,,28.2%,4.0
7613,WESTERN LINE SCHOOL DISTRICT,38.5%,42.4%,-6.6,9.6,,-1.2,,,,,40.7%,-17.4,38.5%,,34.7%,7.3,38.6%,31.1%,10.0,28.9,,12.7,,,,,41.8%,-24.4,38.6%,,38.2%,0.8
7900,WILKINSON CO SCHOOL DIST,20.9%,,,,,,,,,,23.3%,-21.3,21.1%,,16.9%,8.3,21.0%,,,,,,,,,,23.2%,-19.3,21.0%,,21.3%,-0.6
4911,WINONA-MONTGOMERY CONSOLIDATED SD,35.0%,48.4%,-20.3,,,-21.1,,,,,38.3%,-22.2,35.0%,,32.1%,5.9,38.8%,52.3%,-21.0,,,-30.9,,,,,42.3%,-23.0,38.8%,,38.4%,0.8
8220,YAZOO CITY MUNICIPAL SCHOOL DIST,10.9%,,,,,,,,,,12.3%,-9.7,10.9%,,10.9%,0.1,13.8%,,,,,,,,,,15.9%,-13.3,13.8%,,12.9%,1.8
8200,YAZOO CO SCHOOL DIST,30.9%,40.5%,-17.4,,,-3.0,,,,,34.3%,-21.9,30.8%,,28.3%,5.3,28.9%,37.7%,-16.8,,62.3,-14.2,,,,,32.7%,-22.5,28.5%,,29.5%,-1.1
